,location,total_sqft,bath,price,bhk,encoded_loc
168,Electronics City Phase 1,1475.0,3,78.29,3,76
169,others,1580.0,3,100.0,3,230
170,Dasarahalli,1295.0,2,65.0,2,64
171,Magadi Road,3600.0,6,141.0,6,155
172,Electronic City,589.0,1,27.0,1,74
173,others,1415.0,3,78.0,3,230
174,Sarjapur  Road,1787.0,3,98.29,3,194
175,Sarjapur  Road,1787.0,3,125.0,3,194
176,Koramangala,1475.0,2,90.0,3,144
177,others,2000.0,4,75.5,4,230
178,Sarjapur  Road,984.0,2,44.28,2,194
179,Devanahalli,2390.0,2,74.82,3,65
180,7th Phase JP Nagar,1080.0,2,72.0,2,6
181,others,1500.0,2,115.0,2,230
182,Hebbal,1900.0,3,119.0,3,92
183,Budigere,1153.0,2,56.4,2,52
184,others,1148.0,2,60.0,2,230
185,others,1110.0,2,55.0,2,230
186,Electronic City,1100.0,2,42.0,2,74
187,others,1500.0,2,65.0,3,230
188,others,1080.0,2,39.0,2,230
189,Vijayanagar,1933.0,3,129.0,3,220
190,Ramamurthy Nagar,3500.0,5,150.0,5,188
191,others,1060.0,2,60.0,2,230
192,others,1644.0,3,84.0,3,230
193,others,1285.0,2,72.5,2,230
194,Electronic City,1200.0,3,90.0,3,74
195,Electronic City,910.0,2,40.0,2,74
196,Kothanur,1577.0,3,70.0,3,146
197,others,4050.0,3,280.0,3,230
198,OMBR Layout,2420.0,3,185.0,3,175
199,others,1060.0,2,55.0,2,230
200,7th Phase JP Nagar,1270.0,2,93.0,2,6
201,others,1280.0,2,69.0,2,230
202,Horamavu Agara,1200.0,2,95.0,4,98
203,Sarjapur  Road,1025.0,2,36.0,2,194
204,Electronic City,1108.0,2,63.0,2,74
205,others,3045.0,3,170.0,3,230
206,Vijayanagar,1500.0,3,75.5,3,220
207,Raja Rajeshwari Nagar,1295.0,2,43.9,2,184
208,Budigere,1162.0,2,59.9,2,52
209,Sarjapur  Road,1035.0,2,49.2,2,194
210,Attibele,1600.0,4,52.8,4,21
211,others,1464.0,3,46.0,3,230
212,Hennur Road,1866.0,2,61.58,3,96
213,others,700.0,1,26.0,2,230
214,Kalena Agrahara,1804.0,3,120.0,3,121
215,Sarjapur,913.0,2,32.0,2,193
216,Talaghattapura,1868.0,3,131.0,3,208
217,Kengeri Satellite Town,883.0,2,45.0,2,136
218,Kogilu,1664.0,2,73.95,3,142
219,Hegde Nagar,2026.0,3,132.0,3,94
220,Balagere,1210.0,2,80.9,2,25
221,others,4111.0,4,250.0,4,230
222,Kadugodi,1762.0,3,91.45,3,117
223,Jigani,1252.0,3,55.0,3,113
224,Gollarapalya Hosahalli,861.0,2,34.5,2,81
225,7th Phase JP Nagar,1420.0,2,100.0,3,6
226,Electronics City Phase 1,1490.0,3,78.8,3,76
227,Bisuvanahalli,1075.0,2,46.0,3,46
228,Old Madras Road,1425.0,2,94.0,3,177
229,Kalena Agrahara,1200.0,2,40.0,2,121
230,Kaggadasapura,1280.0,2,56.0,3,118
231,others,1084.0,2,50.0,2,230
232,Kanakpura Road,1017.0,2,51.25,2,127
233,Haralur Road,1027.0,2,44.0,2,90
234,Electronic City Phase II,1069.0,2,45.0,2,75
235,Hebbal,1349.0,2,98.2,2,92
236,9th Phase JP Nagar,1005.0,2,50.0,2,8
237,Jakkur,1417.0,2,75.0,2,110
238,TC Palaya,1475.0,3,98.0,3,207
239,others,950.0,2,47.0,2,230
240,others,2000.0,4,120.0,4,230
241,Sarjapur  Road,1863.0,3,104.0,4,194
242,Singasandra,1010.0,2,29.5,2,201
243,Kalena Agrahara,1425.0,2,70.0,3,121
244,Vijayanagar,1450.0,3,100.0,3,220
245,Kothanur,1847.0,3,105.0,3,146
246,AECS Layout,1100.0,2,45.0,2,9
247,Kanakpura Road,525.0,1,26.0,1,127
248,Mallasandra,1665.0,3,95.0,3,158
249,Begur,1664.0,4,65.0,4,38
250,JP Nagar,1850.0,3,150.0,3,109
251,Panathur,1438.0,2,100.0,2,180
252,others,1560.0,3,115.0,3,230
253,Yelahanka,1350.0,2,55.55,2,226
254,Kanakpura Road,1550.0,3,67.0,3,127
255,Malleshpalya,1140.0,2,46.5,2,159
256,others,850.0,2,27.0,2,230
257,Whitefield,1280.0,2,75.0,2,224
258,Munnekollal,1170.0,2,52.0,2,164
259,others,1113.0,2,51.0,2,230
260,Hennur Road,1385.0,2,83.09,2,96
261,Electronic City,1128.0,2,65.0,2,74
262,Haralur Road,1464.0,3,56.0,3,90
263,others,1200.0,2,55.0,2,230
264,Kaval Byrasandra,1200.0,2,52.0,2,133
265,Kaggalipura,1150.0,2,55.0,3,119
266,others,1645.0,3,95.0,3,230
267,Sarjapur  Road,1000.0,2,67.0,2,194
268,Haralur Road,2650.0,4,198.0,4,90
269,6th Phase JP Nagar,1192.0,2,74.0,2,5
270,Whitefield,1173.0,2,58.0,2,224
271,Uttarahalli,1020.0,2,45.0,2,216
272,Somasundara Palya,1600.0,3,64.0,3,202
273,others,1200.0,2,79.0,2,230
274,others,1230.0,2,48.0,2,230
275,Devarachikkanahalli,1250.0,2,40.0,2,66
276,Kalena Agrahara,1325.0,2,76.0,2,121
277,7th Phase JP Nagar,1850.0,3,150.0,3,6
278,Kanakpura Road,525.0,2,21.53,1,127
279,Basaveshwara Nagar,1200.0,2,65.0,2,36
280,Bommasandra,1260.0,3,49.36,3,48
281,Ardendale,1100.0,2,43.25,2,19
282,Harlur,1508.0,2,77.0,2,91
283,others,1592.0,3,75.0,3,230
284,Akshaya Nagar,1388.0,2,57.0,2,11
285,Electronic City Phase II,630.0,1,28.35,1,75
286,others,1762.0,3,125.0,3,230
287,others,950.0,2,50.0,2,230
288,Magadi Road,1116.0,2,50.0,2,155
289,others,1308.0,2,89.04,2,230
290,others,1200.0,3,90.0,3,230
291,Bannerghatta Road,500.0,1,18.5,1,34
292,Hennur,1075.0,2,52.0,2,95
293,Bellandur,1205.0,2,66.0,2,40
294,5th Phase JP Nagar,1075.0,2,60.0,2,4
295,KR Puram,930.0,2,39.0,2,115
296,Balagere,1380.0,2,60.0,2,25
297,Kodigehaali,1166.0,2,55.0,2,139
298,Bannerghatta Road,1050.0,2,65.0,2,34
299,Begur Road,1200.0,2,46.8,2,39
300,Lakshminarayana Pura,1600.0,2,108.0,3,153
301,Billekahalli,1935.0,3,110.0,3,44
302,8th Phase JP Nagar,451.0,1,29.9,1,7
303,Electronic City,1800.0,3,95.0,3,74
304,Jalahalli,1400.0,3,77.0,3,111
305,Hegde Nagar,1801.0,3,115.0,3,94
306,Mahadevpura,1451.0,2,90.0,2,156
307,Anekal,1200.0,1,36.0,2,17
308,Begur Road,1160.0,2,44.0,2,39
309,Kanakpura Road,950.0,2,40.0,2,127
310,others,1629.0,3,79.0,3,230
311,Vijayanagar,1826.0,3,121.0,3,220
312,7th Phase JP Nagar,1245.0,2,94.0,2,6
313,Raja Rajeshwari Nagar,1145.0,2,45.79,2,184
314,Sompura,825.0,2,33.0,2,203
315,Yeshwanthpur,1693.0,3,108.0,3,229
316,Electronics City Phase 1,1113.27,2,53.0,2,76
317,others,1460.0,2,58.0,2,230
318,Doddathoguru,1050.0,2,32.0,2,70
319,Dodda Nekkundi,1260.0,2,55.0,2,67
320,Hosur Road,1656.0,2,120.0,2,104
321,Chandapura,1208.0,3,45.0,3,55
322,Whitefield,3252.0,4,230.0,4,224
323,Battarahalli,1200.0,2,65.0,2,37
324,7th Phase JP Nagar,1175.0,2,82.0,2,6
325,others,1185.0,2,38.0,2,230
326,Kengeri,750.0,2,38.0,2,135
327,Kanakpura Road,1550.0,3,64.5,3,127
328,others,1760.0,3,88.0,3,230
329,Billekahalli,1125.0,2,62.0,2,44
330,Anandapura,1000.0,2,55.0,2,15
331,Bommasandra Industrial Area,1090.0,2,31.48,2,49
332,TC Palaya,1200.0,2,60.0,2,207
333,Budigere,1991.0,4,103.0,3,52
334,Ambalipura,1105.0,2,75.0,2,12
335,Hoodi,985.0,2,67.0,2,97
336,Balagere,1590.0,3,79.0,3,25
337,CV Raman Nagar,1120.0,2,55.0,2,53
338,others,1069.0,2,55.0,2,230
339,Marathahalli,1933.0,3,140.0,3,161
340,Hosur Road,1194.0,2,69.0,2,104
341,Brookefield,1150.0,2,69.0,2,51
342,Yelenahalli,1240.0,2,47.12,2,228
343,Raja Rajeshwari Nagar,1419.0,2,48.1,2,184
344,others,1450.0,3,55.0,3,230
345,others,1630.0,3,68.29,3,230
346,Dasanapura,708.0,1,40.0,2,63
347,Whitefield,11890.0,4,700.0,4,224
348,Bellandur,1250.0,2,76.0,2,40
349,7th Phase JP Nagar,1400.0,2,95.0,3,6
350,Sarjapur  Road,1670.0,2,57.0,3,194
351,Ardendale,1750.0,3,100.0,3,19
352,Vittasandra,1404.0,2,71.0,2,223
353,Hoodi,1715.0,2,95.0,3,97
354,Electronic City,630.0,1,34.65,1,74
355,Harlur,1752.12,3,135.0,3,91
356,Hulimavu,1650.0,3,78.0,3,105
357,Raja Rajeshwari Nagar,1295.0,2,55.47,2,184
358,Sarjapur  Road,1346.0,2,74.03,2,194
359,Hormavu,1150.0,2,55.0,2,100
360,AECS Layout,1620.0,3,98.0,3,9
361,Marathahalli,950.0,2,46.96,2,161
362,Harlur,2450.0,3,120.0,3,91
363,Electronic City Phase II,1220.0,2,35.23,3,75
364,others,850.0,2,30.0,2,230
365,Padmanabhanagar,1020.0,2,63.0,2,178
366,Chikkalasandra,1100.0,2,50.0,2,59
367,Hebbal,1760.0,2,130.0,3,92
368,Ambalipura,1800.0,3,110.0,3,12
369,Akshaya Nagar,1070.0,2,54.0,2,11
370,Vidyaranyapura,1440.0,2,95.0,2,219
371,Amruthahalli,900.0,2,40.0,2,14
372,Whitefield,1130.0,2,42.16,2,224
373,Kodigehalli,1270.0,2,98.0,2,140
374,others,1200.0,2,62.0,2,230
375,others,4800.0,4,235.0,4,230
376,others,1200.0,2,74.0,2,230
377,Subramanyapura,929.0,2,50.17,2,205
378,others,1464.0,3,56.0,3,230
379,others,2000.0,4,99.0,4,230
380,Chikkalasandra,1208.0,2,49.0,2,59
381,Hebbal Kempapura,1130.0,2,60.0,2,93
382,others,1753.0,3,120.0,3,230
383,Hoodi,1196.0,2,94.42,2,97
384,5th Phase JP Nagar,1150.0,3,52.5,2,4
385,Electronic City,1128.0,2,63.0,2,74
386,others,1000.0,2,53.0,2,230
387,Yelahanka,1035.0,2,45.0,2,226
388,Kereguddadahalli,950.0,2,32.0,2,137
389,Bisuvanahalli,1075.0,2,36.0,3,46
390,Whitefield,1040.0,2,48.5,2,224
391,others,720.0,2,45.0,2,230
392,Lingadheeranahalli,1511.0,3,95.0,3,154
393,others,1300.0,3,58.0,3,230
394,Hoodi,1545.0,3,68.75,3,97
395,Shampura,375.0,2,26.0,1,199
396,Vidyaranyapura,1062.0,2,38.0,2,219
397,others,1115.0,2,40.0,2,230
398,JP Nagar,1000.0,2,35.0,2,109
399,Kambipura,883.0,2,45.0,2,123
400,Sarjapur  Road,1195.0,2,70.0,2,194
401,others,700.0,1,41.0,1,230
402,Vittasandra,1246.0,2,67.0,2,223
403,others,1600.0,4,80.0,4,230
404,Haralur Road,2805.0,5,154.0,4,90
405,Begur Road,1584.0,3,65.0,3,39
406,Hosur Road,1175.0,2,48.0,3,104
407,others,1595.0,3,115.0,3,230
408,others,1353.0,2,110.0,2,230
409,Electronic City,1599.0,3,125.0,3,74
410,Whitefield,1150.0,2,70.0,2,224
411,KR Puram,1155.0,2,42.74,2,115
412,others,1200.0,2,85.0,1,230
413,Thanisandra,3000.0,4,120.0,4,209
414,Ramagondanahalli,1251.0,2,47.0,2,187
415,others,1028.0,2,45.5,2,230
416,Arekere,1222.0,2,45.0,2,20
417,Bannerghatta Road,1170.0,2,66.0,3,34
418,others,1385.0,2,48.48,3,230
419,HSR Layout,1372.0,2,68.0,2,89
420,Magadi Road,1282.0,2,49.0,3,155
421,Kanakpura Road,1135.0,2,39.73,2,127
422,Whitefield,1768.0,3,101.0,3,224
423,others,1325.0,2,90.0,3,230
424,Electronic City,1599.0,3,99.0,3,74
425,Whitefield,1500.0,3,61.95,3,224
426,Uttarahalli,1286.0,2,63.0,2,216
427,Kammanahalli,2845.0,5,140.0,5,124
428,others,1600.0,2,50.0,3,230
429,Hennur Road,1915.0,2,63.77,2,96
430,Munnekollal,1102.0,2,53.67,2,164
431,Yelahanka,1350.0,2,54.0,2,226
432,Banashankari,1200.0,2,42.0,3,26
433,others,1800.0,1,80.0,2,230
434,Chikkabanavar,950.0,2,40.0,2,58
435,Kanakpura Road,525.0,1,27.25,1,127
436,Attibele,656.0,2,25.0,2,21
437,others,1056.0,2,80.0,2,230
438,Bannerghatta Road,595.0,1,33.32,1,34
439,others,1080.0,2,50.0,2,230
440,7th Phase JP Nagar,2225.0,3,160.0,3,6
441,Electronics City Phase 1,1490.0,3,84.0,3,76
442,Sarjapur  Road,1550.0,3,100.0,3,194
443,Sarjapur  Road,1600.0,3,86.0,3,194
444,others,1160.0,2,55.0,2,230
445,Whitefield,4144.0,4,315.0,4,224
446,Sarjapur  Road,2100.0,3,125.0,3,194
447,Vittasandra,1404.0,2,69.3,2,223
448,others,1544.0,3,120.0,3,230
449,Banashankari Stage III,1305.0,2,58.7,3,28
450,Marathahalli,1230.0,2,80.0,2,161
451,others,1200.0,2,65.0,2,230
452,Harlur,1460.0,3,73.0,3,91
453,Gottigere,967.0,2,45.0,2,82
454,others,540.0,1,36.0,1,230
455,Hormavu,715.0,1,46.0,1,100
456,Mysore Road,1020.0,2,48.95,2,166
457,Jigani,1020.0,2,40.0,2,113
458,Koramangala,1253.0,2,102.0,2,144
459,others,1180.0,2,42.0,2,230
460,Nehru Nagar,961.0,2,38.0,2,174
461,Kanakapura,1419.0,3,75.0,3,126
462,others,1600.0,2,115.0,2,230
463,others,416.0,1,18.5,1,230
464,HSR Layout,1430.0,2,65.0,3,89
465,others,1260.0,2,45.0,2,230
466,others,1630.0,3,85.0,3,230
467,Sarjapur  Road,1249.0,3,44.71,3,194
468,Kalena Agrahara,1450.0,2,85.0,3,121
469,Konanakunte,2791.0,3,223.0,3,143
470,others,834.0,1,60.0,1,230
471,others,1125.0,4,70.0,3,230
472,Arekere,2060.0,3,140.0,3,20
473,Raja Rajeshwari Nagar,1133.0,2,49.07,2,184
474,Bisuvanahalli,1075.0,2,37.0,3,46
475,Vidyaranyapura,1200.0,2,55.0,2,219
476,Thanisandra,1075.0,2,45.8,2,209
477,Kaggadasapura,1140.0,2,40.0,2,118
478,Raja Rajeshwari Nagar,1090.0,2,42.0,2,184
479,R.T. Nagar,1500.0,4,70.0,4,182
480,Whitefield,1790.0,3,100.0,3,224
481,Hebbal,1920.0,3,134.0,3,92
482,HRBR Layout,1374.0,2,95.0,2,88
483,Bannerghatta Road,1445.0,3,95.0,3,34
484,Kanakapura,711.0,1,36.0,1,126
485,Tumkur Road,1500.0,3,95.0,3,214
486,Whitefield,1720.0,3,100.0,3,224
487,others,1400.0,3,60.0,3,230
488,Kundalahalli,1030.0,2,49.0,2,150
489,Mysore Road,1200.0,2,85.0,2,166
490,others,1375.0,3,70.0,3,230
491,Hegde Nagar,1050.0,1,56.0,2,94
492,Jalahalli,2250.0,3,160.0,3,111
493,Bellandur,1000.0,2,50.0,2,40
494,others,469.0,1,25.0,1,230
495,Marathahalli,3800.0,4,250.0,4,161
496,Kambipura,883.0,2,29.0,2,123
497,GM Palaya,1820.0,2,86.0,3,78
498,Singasandra,1440.0,2,65.0,3,201
499,others,3600.0,4,160.0,6,230
500,Mahadevpura,1225.0,2,48.0,2,156
501,Chikkalasandra,875.0,2,52.8,2,59
502,Jalahalli East,750.0,1,40.0,1,112
503,6th Phase JP Nagar,1180.0,2,80.0,2,5
504,Haralur Road,1194.0,2,47.0,2,90
505,Hennur Road,1500.0,2,62.0,3,96
506,others,1160.0,2,52.2,2,230
507,Sarjapur,1128.0,2,60.0,2,193
508,others,1220.0,2,35.23,3,230
509,Sarjapur  Road,1210.0,2,58.0,2,194
510,Kanakpura Road,1100.0,2,58.0,3,127
511,Bommasandra,1200.0,3,46.0,3,48
512,Haralur Road,3385.0,5,260.0,4,90
513,others,1641.0,3,66.0,3,230
514,Horamavu Agara,1200.0,2,45.0,2,98
515,Raja Rajeshwari Nagar,1260.0,2,67.39,2,184
516,Mahadevpura,1720.0,3,78.0,3,156
517,Yelahanka,1692.5,2,48.13,2,226
518,Yelahanka,1210.0,2,45.98,2,226
519,Bisuvanahalli,1075.0,2,45.0,3,46
520,Thanisandra,1702.0,3,130.0,3,209
521,Raja Rajeshwari Nagar,1141.0,2,38.55,2,184
522,others,2072.0,3,108.0,3,230
523,JP Nagar,7720.0,2,375.0,5,109
524,others,1200.0,2,70.0,3,230
525,others,1350.0,3,77.0,3,230
526,others,5591.0,4,445.0,4,230
527,others,1180.0,2,78.34,3,230
528,Bannerghatta Road,1640.0,2,120.0,3,34
529,Kodichikkanahalli,1190.0,2,57.0,3,138
530,Marathahalli,1019.0,2,49.85,2,161
531,Akshaya Nagar,1250.0,3,40.0,3,11
532,Whitefield,1140.0,2,56.0,2,224
533,Lingadheeranahalli,1683.0,3,109.0,3,154
534,Kaggadasapura,1515.0,3,83.3,3,118
535,Hoodi,2118.0,4,111.0,4,97
536,Bannerghatta Road,1380.0,3,58.0,4,34
537,Varthur Road,1083.0,2,61.75,2,218
538,others,2300.0,3,120.0,3,230
539,others,1240.0,2,60.0,2,230
540,others,1750.0,3,120.0,3,230
541,others,1230.0,2,43.48,2,230
542,Abbigere,985.0,2,40.39,2,10
543,Tindlu,1500.0,2,87.0,3,213
544,Electronic City,1125.0,2,32.49,2,74
545,others,950.0,2,44.0,2,230
546,JP Nagar,7800.0,2,548.5,5,109
547,Kothanur,1580.0,3,76.0,3,146
548,Hennur Road,2264.0,3,159.0,3,96
549,Kammasandra,810.0,2,24.5,2,125
550,others,1045.0,2,45.0,2,230
551,Hebbal,1337.0,2,82.0,2,92
552,Begur Road,1500.0,2,54.0,3,39
553,Whitefield,1640.0,4,91.0,3,224
554,others,1570.0,3,62.0,3,230
555,Gubbalala,1470.0,2,82.0,3,84
556,Kengeri,1160.0,2,40.61,2,135
557,7th Phase JP Nagar,1050.0,2,71.0,2,6
558,Bannerghatta Road,1460.0,2,90.0,3,34
559,Hulimavu,1823.0,3,100.0,3,105
560,Electronic City,1094.0,2,42.0,2,74
561,Budigere,1153.0,2,57.0,2,52
562,others,1325.0,3,57.0,3,230
563,others,1200.0,3,85.0,4,230
564,Jakkur,1590.0,2,125.0,3,110
565,others,1202.0,2,48.0,2,230
566,Haralur Road,1202.0,2,53.0,2,90
567,others,1200.0,2,62.5,2,230
568,Panathur,1688.0,3,118.0,3,180
569,Kaval Byrasandra,1020.0,2,52.0,2,133
570,Sarjapur,1185.0,2,47.0,2,193
571,Ramagondanahalli,1235.0,2,52.04,2,187
572,Banashankari,1077.0,2,37.64,2,26
573,Kengeri Satellite Town,1415.0,2,66.0,3,136
574,EPIP Zone,2330.0,3,162.0,3,73
575,Whitefield,805.0,2,35.0,2,224
576,others,425.0,1,20.03,1,230
577,Whitefield,1155.0,2,59.95,2,224
578,Anekal,656.0,2,22.0,2,17
579,others,1100.0,2,48.0,2,230
580,Mahadevpura,1150.0,2,52.0,2,156
581,Whitefield,2280.0,4,126.0,3,224
582,Hegde Nagar,1341.0,2,97.0,2,94
583,Jakkur,1279.0,2,77.0,2,110
584,Electronic City Phase II,2225.0,4,98.88,4,75
585,Thanisandra,1185.0,2,43.51,2,209
586,others,1750.0,3,85.0,3,230
587,Kudlu,1152.0,2,53.5,2,147
588,Varthur Road,2760.0,4,155.0,4,218
589,5th Phase JP Nagar,1070.0,2,39.0,2,4
590,Uttarahalli,1101.0,2,45.0,2,216
591,others,775.0,2,55.0,2,230
592,Yeshwanthpur,667.0,1,36.85,1,229
593,Electronic City,1070.0,2,55.0,2,74
